id;title;year;genre;duration;country;director
tt0472181;The Smurfs;2011;Animation, Adventure, Comedy;103;USA, Belgium, Canada;Raja Gosnell
tt0472198;Notorious;2009;Biography, Crime, Drama;122;USA;George Tillman Jr.
tt0472399;The Mechanic;2011;Action, Thriller;93;USA;Simon West
tt0473075;Prince of Persia: The Sands of Time;2010;Action, Fantasy;116;USA;Mike Newell
tt0473102;The Perfect Game;2010;Comedy, Drama, Family;118;Canada, USA, Mexico;William Dear
tt0473364;The Heavy;2009;Thriller;102;UK, USA;Marcus Warren
tt0473705;State of Play;2009;Crime, Drama, Mystery;127;USA, UK, France;Kevin Macdonald
tt0475290;Hail, Caesar!;2016;Comedy, Drama, Music;106;UK, Japan, USA;Ethan Coen, Joel Coen
tt0475970;Creature of Darkness;2009;Horror, Sci-Fi;81;USA;Mark Stouffer
tt0477080;Unstoppable;2010;Action, Thriller;98;USA;Tony Scott
tt0477302;Extremely Loud & Incredibly Close;2011;Adventure, Drama, Mystery;129;USA;Stephen Daldry
tt0478304;The Tree of Life;2011;Drama, Fantasy;139;USA;Terrence Malick
tt0478970;Ant-Man;2015;Action, Adventure, Comedy;117;USA;Peyton Reed
tt0479204;Perfect Life;2010;Horror, Thriller;98;USA, Luxembourg;Josef Rusnak
tt0479997;Season of the Witch;2011;Action, Adventure, Fantasy;95;USA;Dominic Sena
tt0480239;Atlas Shrugged: Part I;2011;Drama, Mystery, Sci-Fi;97;USA;Paul Johansson
tt0480255;The Losers;2010;Action, Adventure, Crime;97;USA;Sylvain White
tt0480687;Hall Pass;2011;Comedy, Romance;105;USA;Bobby Farrelly, Peter Farrelly
tt0481499;The Croods;2013;Animation, Action, Adventure;98;USA;Kirk DeMicco, Chris Sanders
tt0482459;Bandeiji;2010;Drama, Music, Romance;119;Japan;Takeshi Kobayashi
tt0482461;Barry Munday;2010;Comedy, Drama, Romance;95;USA;Chris D'Arienzo
tt0482525;InSearchOf;2009;Drama;102;USA;Zeke Zelker
tt0483586;Chasing 3000;2010;Family, Sport;115;USA;Gregory J. Lanesey
tt0483701;Karma, Confessions and Holi;2009;Drama;110;India, USA;Manish Gupta
tt0484828;La daga de RasputÃ­n;2011;Adventure, Comedy;99;Spain;JesÃºs Bonilla
tt0485061;uwantme2killhim?;2013;Drama, Thriller;92;UK;Andrew Douglas
tt0485521;Sushi in Suhl;2012;Comedy, Drama;100;Germany;Carsten Fiebeler
tt0485601;The Secret of Kells;2009;Animation, Adventure, Family;71;France, Belgium, Ireland, Netherlands, USA, Denmark, Brazil, Germany, Austria, Hungary;Tomm Moore, Nora Twomey
tt0485947;Mr. Nobody;2009;Drama, Fantasy, Romance;141;Belgium, Germany, Canada, France, USA, UK;Jaco Van Dormael
tt0485985;Red Tails;2012;Action, Drama, History;125;USA;Anthony Hemingway
tt0486592;Guardians;2009;Horror, Sci-Fi;87;USA;Drew Maxwell
tt0486615;London Dreams;2009;Drama, Music;146;India, UK;Vipul Amrutlal Shah
tt0486619;Lynch Mob;2009;Horror;99;USA;Byron Conrad Erwin
tt0489049;Fanboys;2009;Adventure, Comedy, Drama;90;USA;Kyle Newman
