movie_id;males_votes;females_votes;votes_10;votes_9;votes_8;votes_7;votes_6;votes_5;votes_4;votes_3;votes_2;votes_1
tt7858466;99;14;15;3;5;4;6;7;10;14;26;77
tt7858616;576;74;68;36;87;148;135;117;70;51;37;70
tt7862330;2241;950;398;348;1036;1408;653;264;92;41;43;185
tt7862998;119;22;12;8;27;52;39;19;5;1;3;9
tt7863198;891;261;107;64;237;444;334;137;52;26;24;78
tt7866702;68;14;11;4;2;6;12;18;13;11;8;18
tt7867076;208;10;105;61;63;50;39;10;4;6;1;16
tt7870578;93;25;4;7;5;6;8;20;20;26;18;44
tt7871636;751;569;258;36;72;114;176;173;107;67;71;720
tt7874378;627;90;36;28;139;298;243;125;44;22;23;31
tt7875464;1378;336;117;145;456;642;402;187;90;32;25;70
tt7875604;83;22;9;3;13;50;40;15;5;2;0;5
tt7877016;90;52;53;41;45;31;11;4;2;0;1;7
tt7878846;340;26;85;64;80;105;89;83;33;22;24;39
tt7880466;482;124;137;45;102;188;227;116;52;16;19;37
tt7880570;53;6;465;1;2;2;4;1;5;4;7;61
tt7881542;607;50;90;29;63;82;132;154;130;81;62;156
tt7881558;505;24;139;61;106;145;132;73;49;15;18;37
tt7881954;251;176;118;33;62;89;66;56;26;23;14;39
tt7882104;353;56;52;23;55;102;140;67;37;16;26;28
tt7883774;109;26;13;10;27;46;49;19;11;6;4;6
tt7885874;217;75;103;94;145;61;14;7;0;2;3;9
tt7886442;941;193;170;252;168;242;74;100;86;64;50;83
tt7886614;195;57;44;11;16;27;60;74;34;27;21;42
tt7886846;202;77;99;14;40;58;61;51;22;19;13;30
tt7888070;220;48;22;8;22;56;99;78;30;10;14;18
tt7890408;309;55;53;17;44;103;97;69;36;19;10;22
tt7891470;265;47;65;40;50;75;71;23;19;7;9;30
tt7892050;2897;158;1335;681;943;763;413;213;107;57;50;153
tt7893992;296;70;23;32;65;114;76;50;34;16;15;33
tt7895852;103;27;50;15;29;28;18;8;2;4;4;2
tt7895904;1010;424;76;13;44;103;231;384;420;277;184;203
tt7897102;1134;151;106;60;180;422;508;239;86;30;18;61
tt7897306;587;75;236;85;162;199;149;82;47;24;27;51
tt7897324;78;3;25;5;14;21;24;11;14;1;7;16
tt7897348;800;96;323;93;137;228;225;168;102;65;56;118
tt7897432;272;46;36;17;42;78;112;76;41;31;17;25
tt7897468;126;22;22;11;18;42;51;25;18;6;6;13
tt7897478;812;77;473;96;116;153;153;143;82;54;50;200
tt7900528;150;34;154;150;121;66;15;21;30;32;38;60
tt7901268;79;21;19;16;38;34;36;11;10;10;2;2
tt7901384;237;35;28;16;23;55;80;80;44;25;12;24
tt7901408;621;87;73;33;51;117;193;193;158;90;70;95
tt7901572;76;12;4;6;11;12;22;21;17;13;4;8
tt7901610;233;54;31;16;50;117;102;47;28;24;5;22
tt7901798;1187;157;499;333;568;405;196;67;30;48;25;44
tt7901824;73;15;7;7;4;8;17;33;13;8;12;12
tt7901882;77;4;8;5;14;26;19;18;9;5;3;5
tt7902704;103;1;18;3;7;7;6;14;9;25;17;79
tt7903634;65;19;8;1;7;22;27;17;11;4;3;6
tt7906422;151;11;32;2;2;23;33;26;19;11;18;55
tt7909444;403;149;118;88;205;162;88;32;9;7;6;12
tt7910444;587;129;110;40;87;155;212;133;64;44;28;78
tt7912470;870;307;876;242;140;69;21;17;6;1;10;41
tt7913172;451;63;35;53;124;180;127;44;27;12;13;28
tt7913394;206;31;193;7;6;9;20;24;35;41;42;149
tt7913934;126;492;192;87;98;142;134;84;45;30;25;40
tt7914416;5866;879;1178;1768;2869;1665;675;280;155;98;86;184
tt7915554;617;108;115;92;198;321;205;91;40;30;12;35
tt7917484;67;39;21;5;7;20;23;23;20;5;6;13
tt7919372;43;28;29;8;26;8;7;6;12;5;5;17
tt7919680;5862;482;1898;1605;2462;1898;824;327;139;73;62;170
tt7923374;482;31;25;1;1;1;0;1;0;6;11;642
tt7925066;446;87;58;80;146;139;97;61;26;14;13;32
tt7925800;219;62;10;28;119;159;75;33;9;2;0;1
tt7926840;115;13;10;4;10;3;14;6;7;16;23;69
tt7930006;164;157;36;4;26;45;66;99;56;48;30;42
tt7931422;148;21;13;7;18;34;54;42;22;9;5;11
tt7933282;135;24;18;5;12;13;12;16;27;31;20;49
tt7933564;131;4;28;16;27;38;32;12;10;3;6;14
tt7933596;69;1;7;11;23;24;18;11;2;1;0;4
tt7935892;116;33;25;35;74;31;6;8;1;1;1;9
tt7935980;59;16;6;7;19;33;22;10;3;5;1;1
tt7938092;475;308;154;109;219;338;207;53;26;13;10;40
tt7938128;107;46;19;8;20;34;61;36;10;15;2;6
tt7938336;530;12;434;176;148;70;29;18;7;7;10;43
tt7938400;379;74;246;38;25;32;33;43;24;27;21;143
tt7938444;359;16;101;17;42;67;86;104;45;34;25;74
tt7940122;112;15;9;4;16;18;23;19;17;16;11;24
